,Abbreviation,FullForm
3863,roflol ,rolling on floor laughing out loud
3864,roflolbag ,Rolling On The Floor Laughing Out Loud Busting A Gut
3865,roflpimp ,rolling on the floor laughing pissing in my pants
3866,roflpmp ,rolling on the floor laughing peeing my pants
3867,roflwtime ,Rolling on the Floor laughing with tears in my eyes
3868,rofpml ,rolling on the floor pissing myself laughing
3869,rofwl ,Rolling on the floor while laughing
3870,roger ,affirmative
3871,rogl ,rolling on ground laughing
3872,roglmfao ,rolling on ground laughing my f**king ass off
3873,roi ,Return On Investment
3874,roids ,steroids
3875,roj ,affirmative
3876,rol ,rolling over laugihng
3877,rolmao ,Rolling Over Laughing My Ass Off
3878,rolmfao ,rolling over laughing my f**king ass off
3879,romalsh ,rolling on my ass laughing so hard
3880,rombl ,rolled off my bed laughing
3881,rong ,wrong
3882,roofles ,rolling on the floor laughing
3883,ror ,raughing out roud
3884,rotf ,rolling on the floor
3885,rotfalol ,roll on the floor and laugh out loud
3886,rotffl ,roll on the f**king floor laughing
3887,rotfflmao ,rolling on the f**king floor laughing my ass off
3888,rotfflmfao ,rolling on the f**king floor laughing my f**king ass off
3889,rotfl ,rolling on the floor laughing
3890,rotflaviab ,rolling on the floor laughing and vomiting in a bucket
3891,rotflmao ,rolling on the floor laughing my ass off
3892,rotflmaofaktd ,Rolling on the floor laughing my ass off farted and killed the dog
3893,rotflmaool ,rolling on the floor laughing my ass off out loud
3894,rotflmaostc ,rolling on the floor laughing my ass off scaring the cat
3895,rotflmbo ,rolling on the floor laughing my butt off
3896,rotflmfao ,rolling on the floor laughing my f**king ass off
3897,rotflmfaopimp ,rolling on the floor laughing my f**king ass off peeing in my pants
3898,rotflmfaopmp ,rolling on the floor laughing my ass off pissin my pants
3899,rotflmfho ,rolling on the floor laughing my f**king head off
3900,rotflmho ,rolling on the floor laughing my head off
3901,rotflmmfao ,rolling on the floor laughing my mother f**king ass off
3902,rotflol ,rolling on the floor laughing out loud
3903,rotfpm ,rolling on the floor pissing myself
3904,rotfwlmao ,rolling on the floor while laughing my ass off
3905,rotg ,rolling on the ground
3906,rotgl ,roll on the ground laughing
3907,rotglmao ,rolling on the ground laughing my ass off
3908,rotw ,rest of the world
3909,rowyco ,rock out with your c**k out
3910,rox ,rocks
3911,roxor ,rock
3912,roxorz ,rocks
3913,roxxor ,rock
3914,rp ,roleplay
3915,rpg ,role playing game
3916,rpita ,royal pain in the ass
3917,rplbk ,reply back
3918,rpo ,royally pissed off
3919,rq ,real quick
3920,rr ,rest room
3921,rrb ,restroom break
3922,rsn ,real soon now
3923,rsp ,respawn
3924,rspct ,respect
3925,rsps ,Runescape Private Server
3926,RT ,retweet
3927,rta ,read the article
3928,rtard ,retard
3929,rtbq ,Read The Blinking Question
3930,rtf ,return the favor
3931,rtfa ,read the f**king article
3932,rtffp ,Read the f**king front page
3933,rtfm ,read the f**king manual
3934,rtfmfm ,read the f**king manual f**king moron
3935,rtfmm ,read the f**king manual moron
3936,rtfms ,Read The f**king Manual Stupid
3937,rtfp ,read the f**king post
3938,rtfq ,Read The f**king Question
3939,rtfs ,read the f**king summary
3940,rtfu ,Ready the f**k up
3941,rtg ,ready to go
3942,rtl ,report the loss
3943,rtm ,read the manual
3944,rtr ,Read the Rules
3945,rtry ,retry
3946,rts ,Real-time strategy
3947,ru ,are you
3948,ru18 ,are you 18
3949,rua ,are you alone
3950,ruabog ,are you a boy or girl
3951,ruagoab ,are you a girl or a boy
3952,rubz2nt ,are you busy tonight
3953,rufkm ,are you f**king kidding me
3954,rugay ,are you gay
3955,rugta ,are you going to answer
3956,ruh ,are you horny
3957,ruk ,are you ok?
3958,rukm ,are you kidding me
3959,rul8 ,Are you late
3960,rumf ,Are you male or female
3961,ruok ,are you ok?
3962,rur ,are you ready
3963,rut ,are you there
3964,ruwm ,are you watching me
3965,rwb ,Rich White b***h
3966,rys ,are you single
3967,ryt ,right
3968,ryte ,right
3969,*s* ,smile
3970,psl ,Pumpkin Spice Latte
3971,s'ok ,it's okay
3972,s'pose ,suppose
3973,s'up ,what is up
3974,s.i.n.g.l.e ,"Stay intoxicated nightly, get laid everyday."
3975,s.i.t. ,stay in touch
3976,s.o.a.b. ,son of a b***h
3977,s.o.b. ,son of a b***h
3978,s.w.a.k. ,sealed with a kiss
3979,s/b ,should be
3980,s2a ,sent to all
3981,s2bu ,Sucks to be you
3982,s2g ,swear to god
3983,s2r ,send to receive
3984,s2u ,same to you
3985,s2us ,Speak to you soon
3986,s3x ,Sex.
3987,s4se ,Sight For Sore Eyes
3988,s8ter ,skater
3989,sab ,slap a b***h
3990,safm ,stay away from me
3991,sagn ,Spelling and Grammar Nazi
3992,sah ,sexy as hell
3993,sahm ,stay at home mom
3994,sase ,self addressed stamped envelope
3995,sbc ,sorry bout caps
3996,sbcg4ap ,strongbads cool game for attractive people
3997,sbd ,silent but deadly
3998,sblai ,stop babbaling like an idiot
3999,sbrd ,so bored
4000,sbs ,such bull s**t
4001,sbt ,sorry bout that
4002,scnr ,"sorry, I couldn't resist"
4003,scool ,school
4004,scrilla ,money
4005,scrt ,secret
4006,scurred ,scared
4007,sd ,suck d**k
4008,sde ,software defined environment
4009,sdf^ ,shut da f**k up
4010,sdk ,Software Development Kit
4011,sdlc ,Software Development Life Cycle
4012,sec ,second
4013,secks ,sex
4014,secksea ,Sexy
4015,secksy ,sexy
4016,sed ,said
4017,see through your eyes ,stye
4018,seg ,s**t Eatin Grin
4019,seks ,sex
4020,sellin ,selling
4021,seo ,Search Engine Optimization
4022,serp ,search engine results page
4023,sexc ,sexy
4024,sexe ,sexy
4025,sexi ,Sexy
4026,sexii ,sexy
4027,sexilicious ,Very Sexy
4028,sexx0rz ,sex
4029,sez ,says
4030,sfam ,Sister from another mother
4031,sfao ,sorry for any offense
4032,sfe ,safe
4033,sfh ,So f**king Hot
4034,sfipmp ,so funny I peed my pants
4035,sfm ,so f**king much
4036,sfr ,so f**king random
4037,sfs ,so f**king stupid
4038,sfsg ,So far so good
4039,sftbc ,Sorry for the broad cast
4040,sfu ,shut the f**k up
4041,sfw ,safe for work
4042,sfwuz ,safe for work until zoomed
4043,sfy ,speak for yourself
4044,sfyl ,sorry for your loss
4045,sg ,so good
4046,sgb ,straight/gay/bisexual
4047,sgbadq ,Search google before asking dumb questions
4048,sgi ,Still got it
4049,sgtm ,slightly gigling to myself
4050,sh ,s**t happens
4051,shag ,f**k
4052,shawty ,girl
4053,shd ,should
4054,shexi ,sexy
4055,shexy ,sexy
4056,shiat ,s**t
4057,shiet ,s**t
4058,shite ,s**t
4059,shiz ,s**t
4060,shizit ,s**t
4061,shiznat ,s**t
4062,shiznit ,s**t
4063,shizz ,s**t
4064,shizzle ,s**t
4065,shld ,should
4066,shmexy ,sexy
4067,shmily ,see how much i love you
4068,sho ,sure
4069,sho'nuff ,sure enough
4070,showin ,showing
4071,shr ,s**t happens right
4072,shrn ,so hot right now
4073,sht ,s**t
4074,shtf ,s**t hits the fan
4075,shud ,should
4076,shuddup ,Shut Up
4077,shup ,shut up
4078,shure ,sure
4079,shut^ ,shut Up
4080,shwr ,shower
4081,shyat ,s**t
4082,shyt ,s**t
4083,siao ,school is almost over
4084,sibir ,sibling in room
4085,sic ,said in context
4086,sicl ,sitting in chair laughing
4087,sif ,as if
4088,sifn't ,as if not
4089,sig ,Signature
4090,siggy ,Signature
4091,silf ,Sister I'd Like To f**k
4092,simcl ,sitting in my chair laughing
4093,simclmao ,sitting in my chair laughing my ass off
4094,siol ,Shout It Out Loud
4095,sis ,sister
4096,sista ,Sister
4097,sitb ,sex in the but
4098,sitd ,Still in the dark
4099,sitmf ,say it to my face
4100,siu ,suck it up
4101,siuya , shove it up your ass
4102,sk ,spawn kill
4103,sk8 ,skate
4104,sk8er ,skater
4105,sk8ing ,Skating
4106,sk8r ,skater
4107,sk8ter ,skater
4108,sk8tr ,skater
4109,skb ,should know better
4110,sked ,schedule
4111,skeet ,ejaculate
4112,skewl ,school
4113,skhool ,school
4114,skillz ,skills
4115,skl ,School
4116,skool ,school
4117,skoul ,school
4118,sktr ,skater
4119,skwl ,school
4120,sl4n ,so long for now
4121,sleepin ,sleeping
4122,sleepn ,sleeping
4123,slf ,sexy little f**k
4124,slgb ,Straight/Lesbian/Gay/Bisexual
4125,slng ,slang
4126,slo ,slow
4127,slore ,s**tty w***e
4128,slos ,someone looking over shoulder
4129,slp ,sleep
4130,slt ,something like that
4131,sl^t ,s**t 
4132,sm ,social media
4133,sm1 ,someone
4134,smb ,see my blog
4135,smbd ,suck my big d**k 
4136,smbt ,Suck my big toe
4137,smc ,suck my c**k
4138,smd ,suck my d**k
4139,smdb ,suck my d**k b***h
4140,smdvq ,suck my d**k quickly
4141,smeg ,f**k
4142,smexy ,sexy
4143,smf ,stupid motherf**ker
4144,smfd ,suck my f**king d**k
4145,smfpos ,stupid mother f**king piece of s**t
4146,smh ,shaking my head
4147,smhb ,suck my hairy balls
4148,smhid ,shaking my head in disgust
4149,smho ,Screaming My Head Off
4150,smithwaws ,Smack me in the head with a wooden spoon
4151,smofo ,stupid mother f**ker
4152,smst ,somebody missed snack time
4153,smt ,suck my tits
4154,smthin ,something
4155,smthng ,something
4156,smtm ,sometime
4157,smto ,Sticking My Tongue Out
4158,smtoay ,Sticking my tongue out at you
4159,sn ,screen name
4160,snafu ,situation normal all f**ked up
4161,snafubar ,Situation Normal All f**ked Up Beyond Any Recognition
4162,snes ,Super Nintendo Entertainment System
4163,snew ,what's new
4164,snf ,so not fair
4165,snl ,Saturday Night Live
4166,snm ,say no more
4167,snog ,kiss
4168,snogged ,kissed
4169,soa ,service oriented architecture 
4170,soab ,son of a btch
4171,soad ,system of a down
4172,soafb ,son of a f**king b***h
4173,sob ,son of a b***h
4174,sobs ,"same, old, boring s**t"
4175,soc ,Same old crap
4176,soe ,service oriented enterprise
4177,sof ,smile on face
4178,sofas ,stepping out for a smoke
4179,sofs ,same old f**king s**t
4180,soi ,service oriented infrastructure
4181,sok ,It's ok
4182,sokay ,it's okay
4183,sol ,s**t outta luck
4184,som'm ,something
4185,som1 ,someone
4186,somadn ,sitting on my ass doing nothing
4187,some1 ,someone
4188,soml ,story of my life
4189,soo ,So
4190,soobs ,saggy boobs
4191,sool ,s**t out of luck
4192,sop ,same old place
4193,sorg ,Straight or Gay
4194,sorreh ,sorry
4195,sorta ,sort of
4196,sos ,same old s**t
4197,sosdd ,"same old s**t, different day"
4198,sosg ,spouse over shoulder gone
4199,sot ,suck on this
4200,sotc ,stupid off topic crap
4201,sotr ,sex on the road
4202,sow ,statement of work
4203,sowi ,sorry
4204,sowwy ,sorry
4205,soz ,sorry
4206,spk ,speak
4207,spk2ul8r ,Speak to you later
4208,sploits ,exploits
4209,sploitz ,exploits
4210,spos ,stupid peace of s**t
4211,sprm ,sperm
4212,sqtm ,snickering quietly to myself
4213,srch ,search
4214,srly ,seriously
4215,sroucks ,"that's cool, but it still sucks"
4216,srry ,sorry
4217,srs ,serious
4218,srsly ,seriously
4219,srvis ,Service
4220,sry ,sorry
4221,srynd2g ,sorry need to go
4222,srzly ,seriously
4223,ss ,screenshot
4224,ss4l ,smoking sista for life
4225,ssdd ,"same s**t, different day"
4226,ssdp ,same s**t different pile
4227,ssia ,subject says it all
4228,ssl ,secure sockets layer
4229,ssob ,stupid sons of b***hes
4230,ssry ,so sorry
4231,sssd ,Same s**t Same Day
4232,st ,Stop That
4233,st1 ,stoned
4234,st8 ,state
4235,stb ,soon to be
4236,stbm ,sucks to be me
4237,stbx ,soon to be ex
4238,stby ,sucks to be you
4239,std ,sexually transmitted disease
4240,steamloller ,Laughing. Alot.
4241,stfd ,sit the f**k down
4242,stff ,stuff
4243,stfm ,search the f**king manual
4244,stfng ,search the f**king news group
4245,stfu ,shut the f**k up
4246,stfua ,shut the f**k up already
4247,stfuah ,shut the f**k up a**h**e
4248,stfub ,shut the f**k up b***h
4249,stfuda ,Shut the f**k up dumb ass
4250,stfugbtw ,shut the f**k up and get back to work
4251,stfun ,Shut the f**k up n****r
4252,stfuogtfo ,Shut the f**k up or get the f**k out.
4253,stfuppercut ,shut the f**k up
4254,stfuyb ,shut the f**k up you b***h
4255,stfuysoab ,shut the f**k up you son of a b***h
4256,stfw ,search the f**king web
4257,stg ,swear to god
4258,sth ,something
4259,sthing ,something
4260,sthu ,shut the hell up
4261,stm ,smiling to myself
4262,stoopid ,stupid
4263,stpd ,stupid
4264,str8 ,straight
4265,str8up ,straight up
4266,sts ,so to speak
4267,stsp ,Same Time Same Place
4268,stt ,Same time tomorrow
4269,stufu ,stupid f**ker
4270,stupd ,stupid
4271,stw ,share the wealth 
4272,stys ,speak to you soon
4273,su ,shut up
4274,sua ,see you at
4275,suabq ,shut up and be quiet
4276,suagooml ,shut up and get out of my life
4277,suib ,shut up im busy
4278,suk ,suck
4279,suka ,Sucker
4280,sukz ,sucks
4281,sul ,see you later
4282,sum1 ,someone
4283,sumfin ,Something
4284,summin ,something
4285,sumone ,someone
4286,sumthin' ,Something
4287,sumtin ,something
4288,sup ,what's up
4289,supa ,super
4290,supposably ,Supposedly
4291,sus ,see you soon
4292,susfu ,"situation unchanged, still f**ked up"
4293,sut ,see you tomorrow
4294,sutuct ,so you think you can type
4295,sux ,sucks
4296,sux0rz ,sucks
4297,sux2bu ,sucks to be you
4298,suxor ,Sucks
4299,suxors ,sucks
4300,suxorz ,sucks
4301,suxx ,sucks
4302,suxxor ,sucks
4303,suyah ,shut up you ass hole!
4304,svn ,seven
4305,svu ,special victims unit
4306,sw ,so what
4307,swafk ,sealed with a friendly kiss
4308,swak ,sealed with a kiss
4309,swakaah ,Sealed With A Kiss And A Hug
4310,swalk ,sealed with a loving kiss
4311,swf ,single white female
4312,swm ,single white male
4313,swmbo ,she who must be obeyed
4314,swmt ,Stop Wasting My Time 
4315,swp ,sorry wrong person
4316,swsw2b ,single when she wants to be
4317,swt ,sweet
4318,swtf ,"seriously, what the f**k"
4319,sx ,sex
4320,sxc ,sexy
4321,sxcy ,sexy
4322,sxe ,straight edge
4323,sxi ,sexy
4324,sxs ,sex
4325,sxy ,sexy
4326,sya ,See you again.
4327,syatp ,see you at the party
4328,sydim ,stick your d**k in me
4329,sydlm ,Shut your dirty little mouth
4330,sydm ,shut your damn mouth
4331,syfm ,shut your f**king mouth
4332,syiab ,see you in a bit
4333,syiaf ,see you in a few
4334,syl ,see you later
4335,syl8r ,see you later
4336,sym ,shut your mouth
4337,syoa ,Save Your Own Ass
4338,syotbf ,see you on the battlefield
4339,syrs ,see ya real soon
4340,sys ,see you soon
4341,sysop ,system operator
4342,syt ,see you there
4343,sytycd ,so you think you can dance 
4344,syu ,sex you up
4345,sz ,sorry
4346,Tsm ,Thanks so much
4347,dtg ,Days To Go
4348,t#3 ,the
4349,"t,ftfy ","there, fixed that for you"
4350,t.t.y.l ,Talk To You Later
4351,t/a ,Try again
4352,t2b ,time to blunt
4353,t2m ,talk to me
4354,t2u ,talking to you
4355,t2ul ,talk to you later
4356,t2ul8r ,talk to you later
4357,t3h ,the
4358,t4a ,thanks for asking
4359,t4m ,Transgender for Male
4360,t8st ,taste
4361,ta ,thanks again
4362,taci ,that's a crappy idea
4363,tafn ,That's all for now
4364,taht ,that
4365,tai ,think about it
4366,taig ,That's all I got. 
4367,tal ,thanks a lot
4368,talkin ,talking
4369,tanq ,thank you
4370,tanstaafl ,there ain't no such thing as a free lunch
4371,tard ,retard
4372,tarfu ,things are really f**ked up
4373,tat ,that
4374,tat2 ,tattoo
4375,tau ,thinking about you
4376,taunch ,te amo un chingo
4377,taw ,Teachers are Watching
4378,tay ,thinking about you
4379,tb ,text back
4380,tb4u ,too bad for you
4381,tba ,to be anounced
4382,tbc ,To be continued
4383,tbd ,to be decided
4384,tbf ,to be fair
4385,tbfh ,to be f**king honest
4386,tbfu ,too bad for you
4387,tbh ,to be honest
4388,tbhimo ,to be honest in my opinion
4389,tbhwu ,To be honest with you
4390,tbnt ,thanks but no thanks
4391,tbp ,The Pirate Bay
4392,tbpfh ,To be perfectly f**king honest
4393,tbph ,To be perfectly honest
4394,tbqf ,to be quite frank
4395,tbqh ,to be quite honest
4396,tbss ,too bad so sad
4397,tbt ,throwback thursday
4398,tbtfh ,to be totally freaking honest
4399,tbvh ,to be very honest
4400,tbya ,think before you act
4401,tc ,take care
4402,tcfc ,Too Close For Comfort
4403,tcfm ,too cool for me
4404,tcg ,Trading Card Game
4405,tchbo ,Topic creater has been owned
4406,tcial ,The cake is a lie
4407,tcoy ,take care of yourself
4408,tcp ,transmission control protocol
4409,tcp/ip ,transmission control protocol/internet protocol
4410,td2m ,talk dirty to me
4411,tddup ,till death do us part
4412,tdf ,To Die For
4413,tdl ,Too Damn Lazy
4414,tdtm ,Talk Dirty To Me
4415,tdtml ,talk dirty to me later
4416,tdwdtg ,The Devil Went Down To Georgia
4417,te ,Team effort
4418,teh ,the
4419,teotwawki ,the end of the world as we know it
4420,terd ,s**t
4421,tf2 ,Team Fortress 2
4422,tfa ,the f**king article
4423,tfb ,time for bed
4424,tfbundy ,totaly f**ked but unfortunatly not dead yet
4425,tfc ,Team Fortress Classic
4426,tfd ,total f**king disaster
4427,tff ,That's f**king Funny
4428,tfft ,thank f**k for that
4429,tffw ,Too funny for words
4430,tfh ,Thread from hell
4431,tfic ,Tongue Firmly In Cheek
4432,tfiik ,the f**k if i know
4433,tfl ,Thanks For Looking
4434,tfln ,thanx for last night
4435,tfm ,too f**king much
4436,tfs ,thanks for sharing
4437,tfta ,thanks for the add
4438,tfti ,thanks for the information
4439,tfu ,that's f**ked up
4440,tfu2baw ,time for you to buy a watch
4441,tfw ,that feeling when
4442,tg ,thank god
4443,tgfe ,together forever
4444,tgfitw ,The Greatest Fans In The World
4445,tgft ,thank god for that
4446,tgfu ,too good for you
4447,tgfuap ,thank god for unanswered prayers
4448,tghig ,thank god husband is gone
4449,tgif ,thank god it's friday
4450,tgiff ,thank god its f**king Friday
4451,tgis ,thank god it's saturday
4452,tgiwjo ,Thank God It Was Just Once
4453,tgsttttptct ,thank God someone took the time to put this crap together
4454,tgtbt ,Too Good To Be True
4455,tgwig ,thank god wife is gone
4456,tgws ,that goes without saying
4457,th4nk5 ,Thanks
4458,th@ ,that
4459,tha ,the
4460,thankies ,Thank You
4461,thankx ,thank you
4462,thanq ,thank you
4463,thanx ,thank you
4464,thar ,there
4465,thatz ,that's
4466,thku ,thank you
4467,thn ,then
4468,thnk ,think
4469,thnx ,thanks
4470,tho ,though
4471,thot ,the hoe of today
4472,thr ,there
4473,thr4 ,therefore
4474,thru ,through
4475,tht ,that
4476,thwdi ,thats how we do it
4477,thwy ,the hell with you!
4478,thx ,thank you
4479,thxx ,thanks
4480,thz ,thank you
4481,ti2o ,that is too obious
4482,tia ,thanks in advance
4483,tiafayh ,Thanks in advance for all your help
4484,tiai ,take it all in
4485,tias ,Try It And See
4486,tiatwtcc ,this is a trap word to catch copiers
4487,tif ,this is fun
4488,tif2m ,this is f**king 2 much
4489,tifs ,this is funny s**t
4490,tifu ,that is f**ked up
4491,tigger ,tiger
4492,tiic ,the idiots in control
4493,til ,until
4494,tilf ,Teenager I'd Like To f**k
4495,tinf ,this is not fair
4496,tinla ,this is not legal advice
4497,tinstaafl ,There Is No Such Thing As A Free Lunch
4498,tioli ,take it or leave it
4499,tis ,is
4500,tisc ,that is so cool
4501,tisfu ,that is so f**ked up
4502,tisg ,this is so gay
4503,tisly ,that is so last year
4504,tisnf ,that is so not fair
4505,tiss ,This is some s**t
4506,tisw ,that is so wrong
4507,tiw ,teacher is watching
4508,tix ,tickets
4509,tjb ,thats just boring
4510,tk ,team kill
4511,tk2ul ,talk to you later
4512,tkd ,Tae Kwon Do
4513,tker ,team killer
4514,tks ,thanks
4515,tku ,thank you
4516,tl ,Tough Luck
4517,"tl,dr ",Too long; didn't read
4518,tl8r ,talk later
4519,tldr ,Too Long; Didn't Read
4520,tl; dr ,To Long; Didn't read
4521,tl;dr ,too long; didn't read
4522,tla ,Three Letter Acronym
4523,tlc ,tender loving care
4524,tld ,told
4525,tldnr ,"too long, did not read"
4526,tldr ,"Too long, didn't read."
4527,tlgo ,The list goes on
4528,tliwwv ,this link is worthless without video
4529,tlk ,talk
4530,tlk2me ,talk to me
4531,tlk2ul8r ,talk to you later
4532,tlkin ,talking
4533,tlkn ,talking
4534,tltpr ,Too long to proof read.
4535,tlyk ,to let you know
4536,tma ,take my advice
4537,tmaai ,tell me all about it
4538,tmai ,tell me about it
4539,tmbi ,tell me about it
4540,tmi ,too much information
4541,tmk ,to my knowledge
4542,tml ,tell me later
4543,tmmrw ,tomorrow
4544,tmnt ,teenage mutant ninja turtles
4545,tmo ,take me out
4546,tmoro ,tomorrow
4547,tmoz ,tomorrow
4548,tmp ,Text my phone
4549,tmr ,tomorrow
4550,tmr@ia ,the monkeys are at it again
4551,tmrrw ,tomorrow
4552,tmrw ,Tomorrow
4553,tmrz ,tomorrow
4554,tms ,that makes sense
4555,tmsaisti ,That's my story and I'm sticking to it.
4556,tmsg ,tell me something good
4557,tmsidk ,tell me somthing I don't know
4558,tmth ,too much to handle
4559,tmtmo ,text me tomorrow
4560,tmtoyh ,Too Much Time On Your Hands
4561,tmtt ,tell me the truth
4562,tmw ,Too much work
4563,tmwfi ,Take my word for it
4564,tmz ,tomorrow
4565,tn1 ,trust no-one
4566,tna ,tits and ass
4567,tnc ,totally not cool
4568,tnf ,That's Not Funny
4569,tnlnsl ,Took nothing left nothing signed log
4570,tnmp ,Totally not my problem
4571,tnomb ,that's none of my business
4572,tnx ,thanks
4573,tnxz ,thanks
4574,tob ,teacher over back
4575,tofy ,Thinking of You
4576,togtfooh ,tits or get the f**k out of here
4577,toh ,typing one handed
4578,tok ,That's ok
4579,tok2ul8r ,i'll talk to you later
4580,tolol ,thinking of laughing out loud
4581,tomm ,tommorow
4582,tomoro ,tommorrow
4583,tomoz ,tomorrow
4584,tonite ,tonight
4585,tos ,terms of service
4586,totd ,tip of the day
4587,totes ,totally
4588,totl ,total
4589,totm ,top of the morning
4590,totp ,talking on the phone
4591,totpd ,top of the page dance
4592,tou ,thinking of you
4593,toya ,thinking of you always
4594,tp ,toilet paper
4595,tpb ,the pirate bay
4596,tpf ,that's pretty funny 
4597,tpiwwp ,this post is worthless without pictures
4598,tps ,test procedure specification
4599,tptb ,the powers that be
4600,tq ,Thank You
4601,trani ,transexual
4602,tranny ,Transexual
4603,trble ,trouble
4604,trd ,tired
4605,trnsl8 ,translate
4606,trnsltr ,translator
4607,troll ,person who diliberately stirs up trouble
4608,tru ,true
4609,ts ,talking s**t
4610,tsc ,that's so cool
4611,tsff ,thats so f**kin funny
4612,tsig ,that site is gay
4613,tsl ,The single life
4614,tsnf ,that's so not fair
4615,tss ,That's so sweet
4616,tstoac ,too stupid to own a computer
4617,tswc ,tell someone who cares
4618,tt4n ,ta ta for now
4619,ttbc ,Try to be cool
4620,ttbomk ,to the best o fmy knowledge
4621,ttc ,text the cell
4622,ttf ,that\'s too funny
4623,ttfaf ,Through the Fire and Flames
4624,ttfn ,ta ta for now
4625,ttg ,Time to go
4626,tthb ,try to hurry back
4627,ttihlic ,try to imagine how little i care
4628,ttiuwiop ,this thread is useless without pics
4629,ttiuwop ,this thread is useless without pics
4630,ttiuwp ,This Thread Is Useless Without Pictures
4631,ttiwwop ,This thread is worthless without pics
4632,ttiwwp ,this thread is worthless without pics
4633,ttl ,total
4634,ttlly ,totally
4635,ttly ,totally
4636,ttm ,talk to me
4637,ttml ,talk to me later
4638,ttmn ,Talk to me now
4639,ttms ,talking to myself
4640,ttr ,time to run
4641,ttrf ,"That's the rules, f**ker"
4642,tts ,text to speech
4643,ttt ,to the top
4644,ttth ,Talk To The Hand
4645,tttt ,to tell the truth
4646,ttul ,Talk To You Later
4647,ttul8r ,Talk to you later
4648,ttus ,talk to you soon
4649,ttut ,Talk to you Tomorrow
4650,ttutt ,to tell you the truth
4651,tty ,Talk to You
4652,ttya ,Thanks to you all
4653,ttyab ,Talk to you after breakfast
4654,ttyad ,Talk to you after Dinner
4655,ttyal ,Talk to you after lunch
4656,ttyas ,talk to you at school
4657,ttyiam ,talk to you in a minute
4658,ttyitm ,talk to you in the morning
4659,ttyl ,talk to you later
4660,ttyl2 ,Talk to you later too
4661,ttyl8r ,talk to you later
4662,ttylo ,talk to you later on
4663,ttylt ,talk to you later today
4664,ttyn ,talk to you never
4665,ttyna ,talk to you never again
4666,ttynl ,talk to you never loser
4667,ttynw ,talk to you next week
4668,ttyo ,talk to you online
4669,ttyob ,tend to your own business
4670,ttyotp ,talk to you on the phone
4671,ttyrs ,talk to you really soon
4672,ttys ,talk to you soon
4673,ttyt ,talk to you tomorrow
4674,ttytm ,talk to you tomorrow
4675,ttytt ,to tell you the truth
4676,ttyw ,talk to you whenever
4677,ttywl ,Talk to you way later
4678,tu ,thank you
4679,tuff ,tough
4680,tuh ,to
4681,tul ,text you later
4682,tut ,take your time
4683,tuvm ,thank you very much
4684,tv ,television
4685,tvm ,thanks very much
4686,tw ,Teacher Watching
4687,twajs ,"That was a joke, son."
4688,twat ,vagina
4689,twbc ,that would be cool
4690,twdah ,that was dumb as hell
4691,twf ,That was funny
4692,twfaf ,thats what friends are for
4693,twg ,That was great
4694,twi ,Texting While Intoxicated
4695,twis ,that's what I said
4696,twoh ,typing with one hand
4697,tws2wa ,That was so 2 weeks ago
4698,twss ,That's what she said
4699,twsy ,That was so yeterday
4700,twttr ,twitter
4701,twvsoy ,that was very stupid of you
4702,twyl ,Talk With You Later
4703,twys ,Talk With You Soon
4704,tx ,thanks
4705,txs ,thanks
4706,txt ,text
4707,txting ,texting
4708,txtyl ,text you later
4709,ty ,thank you
4710,tyclos ,"turn your CAPS LOCK off, stupid"
4711,tyfi ,Thank You for invite
4712,tyfn ,thank you for nothing
4713,tyfyc ,Thank You For Your Comment
4714,tyfyt ,Thank you for your time
4715,tyl ,text you later
4716,tym ,time
4717,tyme ,time
4718,typ ,thank you partner
4719,typo ,typing mistake
4720,tyred ,tired
4721,tys ,Told You So
4722,tysfm ,thank you so f**king much
4723,tysm ,thank you so much
4724,tysvm ,thank you so very much
4725,tyt ,take your time
4726,tyto ,take your top off
4727,tyty ,thank you thank you
4728,tyvm ,Thank You Very Much
4729,tyvvm ,thank you very very much
4730,wt ,what
4731,Muh ,My
4732,u ,you
4733,u iz a 304 ,you is a hoe
4734,u'd ,you would
4735,u'll ,you will
4736,u'r ,you're
4737,u'v ,you have
4738,u've ,You've
4739,u/l ,upload
4740,u/n ,username
4741,u2 ,You too
4742,u2c ,unable to contact
4743,u2u ,up to you
4744,u4i ,up for it
4745,ua ,user agreement
4746,uaaaa ,Universal Association Against Acronym Abuse
4747,uat ,User Acceptance Testing
4748,uayor ,Use At Your Own Risk
4749,ub3r ,super
4750,uber ,over
4751,uctaodnt ,you can't teach an old dog new tricks
4752,udc ,you don't care
4753,udcbm ,You Don't Care About Me
4754,udek ,you don't even know
4755,uds ,you dumb s**t
4756,udwk ,you don't want to know
4757,udy ,you done yet
4758,ufab ,ugly fat ass b***h
4759,ufia ,unsolicited finger in the anus
4760,UFIC ,Unsolicited Finger in Chili
4761,ufmf ,you funny mother f**ker
4762,ufr ,Upon further review
4763,ugba ,you gay b***h ass
4764,ugtr ,you got that right
4765,uhab ,you have a blog
4766,uhems ,you hardly ever make sense
4767,ui ,User Interface
4768,ujds ,u just did s**t
4769,ukr ,You know right
4770,ukwim ,you know what i mean
4771,ul ,unlucky
4772,ulbom ,you looked better on myspace
4773,umfriend ,sexual partner
4774,un2bo ,you need to back off
4775,un4rtun8ly ,unfortunately
4776,unt ,until next time
4777,uom ,You owe me
4778,upcia ,unsolicited pool cue in anus
4779,upia ,unsolicited pencil in anus
